maxMupPrimaryCareScore,nursingMaxHpsaScoreMh,maxMuaPrimaryCareScore,nhscMaxHpsaScoreMh,specialtyTwo,semesterEndYear,sitePostalCode,siteLatitude,semesterSeason,siteProgramAbbreviatedList,siteAddressLine2,nhscMaxHpsaScorePc,siteCity,disciplineTwo,workSchedule,siteId,psMaxHpsaScoreMh,siteLongitude,camhpsActive,nhscMaxHpsaScoreDh,psMaxHpsaScorePc,siteStateAbbreviation,siteStateName,nhscActive,nursingMaxHpsaScorePc,siteTagList,siteOpportunityId,maxMctaHpsaScore,siteName,discipline,psMaxHpsaScoreDh,sitePhoneNumber,starActive,starMaxHpsaScoreMh,esrExternalIdentifier,siteAddressLine1,trainingSite,disciplineSpecialty,recordKey,disciplineOne,nursingActive,specialtyOne,opportunityType
NA,23,30.0000,23,,0,27563,36.444996,,,,22,Norlina,,"{'fullTime': True, 'partTime': False}",CADCCC86-0741-4E94-8E54-2B03D045EF8F,23,-78.192887,True,NA,22,NC,,True,22,['SITE_PROFILE_COMPLETED'],02D9C4C5-4BAC-4D47-9EF2-4172B5B875EC,22,Rural Health Group at Norlina,"['Physician, MD/DO']",25,,True,23,,110 Division St,False,"['Physician, MD/DO - Internal Medicine - Pediatrics', 'Physician, MD/DO - Family Practice', 'Physician, MD/DO - Internal Medicine']",02D9C4C5-4BAC-4D47-9EF2-4172B5B875EC,"Physician, MD/DO",True,Internal Medicine - Pediatrics,Job
NA,23,34.0000,23,,0,27870,36.432661,,,,22,Roanoke Rapids,,"{'fullTime': True, 'partTime': False}",C90FCA53-A554-42F5-A1ED-427A7F36FEB7,23,-77.651356,True,NA,22,NC,,True,22,['SITE_PROFILE_COMPLETED'],7B28D732-9F22-4A70-93AB-163DF9B1C65F,22,Rural Health Group at Halifax Medical Specialist,"['Physician, MD/DO']",25,,True,23,,270 Smith Church Rd,False,"['Physician, MD/DO - Internal Medicine - Pediatrics', 'Physician, MD/DO - Family Practice', 'Physician, MD/DO - Internal Medicine']",7B28D732-9F22-4A70-93AB-163DF9B1C65F,"Physician, MD/DO",True,Internal Medicine - Pediatrics,Job
NA,23,34.0000,23,,0,27870,36.431979,,,,22,Roanoke Rapids,,"{'fullTime': True, 'partTime': False}",F9DB41D1-BA0B-4191-9E3E-73E8D151DD64,23,-77.646319,True,NA,22,NC,,True,22,['SITE_PROFILE_COMPLETED'],1396F904-4A24-4F3C-A7BA-8A4722CE32D4,22,Rural Health Group at HRMC,"['Physician, MD/DO']",25,,True,23,,250 Smith Church Rd,False,"['Physician, MD/DO - Internal Medicine - Pediatrics', 'Physician, MD/DO - Family Practice', 'Physician, MD/DO - Internal Medicine']",1396F904-4A24-4F3C-A7BA-8A4722CE32D4,"Physician, MD/DO",True,Internal Medicine - Pediatrics,Job
NA,23,37.0000,23,,0,27869,36.272714,,,,22,Rich Square,,"{'fullTime': True, 'partTime': False}",113D1B6F-4F1C-4A68-9D57-3C8008C21CC3,23,-77.285187,True,NA,22,NC,,True,22,['SITE_PROFILE_COMPLETED'],802A2F2F-5814-4300-A86E-16AEF7202672,22,Rural Health Group at Rich Square,"['Physician, MD/DO']",25,,True,23,,200 S Main St,False,"['Physician, MD/DO - Internal Medicine - Pediatrics', 'Physician, MD/DO - Family Practice', 'Physician, MD/DO - Internal Medicine']",802A2F2F-5814-4300-A86E-16AEF7202672,"Physician, MD/DO",True,Internal Medicine - Pediatrics,Job
NA,23,34.0000,23,,0,27823,36.17961,,,,22,Enfield,,"{'fullTime': True, 'partTime': False}",25677C2A-C416-47FB-9ACA-DAAFD41EDA20,23,-77.666051,True,NA,22,NC,,True,22,['SITE_PROFILE_COMPLETED'],C2D188FE-EA07-47C9-A4DD-D154DD3A6049,22,Rural Health Group at Enfield,"['Physician, MD/DO']",25,,True,23,,114 Market St,False,"['Physician, MD/DO - Internal Medicine - Pediatrics', 'Physician, MD/DO - Family Practice', 'Physician, MD/DO - Internal Medicine']",C2D188FE-EA07-47C9-A4DD-D154DD3A6049,"Physician, MD/DO",True,Internal Medicine - Pediatrics,Job
NA,23,34.0000,23,,0,27850,36.433676,,,,22,Littleton,,"{'fullTime': True, 'partTime': False}",9B452E9C-1E26-4EC3-9EA6-C2900CAE896B,23,-77.91213,True,NA,22,NC,,True,22,['SITE_PROFILE_COMPLETED'],56834FDB-ABB4-4411-A359-8C716D3F8201,22,Rural Health Group at Lake Gaston,"['Physician, MD/DO']",25,,True,23,,108 Mosby Ave,False,"['Physician, MD/DO - Internal Medicine - Pediatrics', 'Physician, MD/DO - Family Practice', 'Physician, MD/DO - Internal Medicine']",56834FDB-ABB4-4411-A359-8C716D3F8201,"Physician, MD/DO",True,Internal Medicine - Pediatrics,Job
NA,23,34.0000,23,,0,27844,36.248854,,,,22,Hollister,,"{'fullTime': True, 'partTime': False}",5E022B52-F424-4A05-9CB1-5695B471F3E1,23,-77.959096,True,NA,22,NC,,True,22,['SITE_PROFILE_COMPLETED'],E09EBC2A-BDB1-46DE-A980-0665DF65A1A7,22,Rural Health Group at Twin County,"['Physician, MD/DO']",25,,True,23,,204 Evans Rd,False,"['Physician, MD/DO - Internal Medicine - Pediatrics', 'Physician, MD/DO - Family Practice', 'Physician, MD/DO - Internal Medicine']",E09EBC2A-BDB1-46DE-A980-0665DF65A1A7,"Physician, MD/DO",True,Internal Medicine - Pediatrics,Job
NA,10,NA,10,,0,19130,39.967054,,,,15,Philadelphia,,"{'fullTime': True, 'partTime': True}",539446A0-BB95-42CB-A975-3B9BBE71B453,10,-75.161407,True,23,15,PA,Pennsylvania,True,15,['SITE_PROFILE_COMPLETED'],65662343-F182-4F01-909E-F3F7D565942C,16,Delaware Valley Community Health - Fairmount Primary Care Center,"['Physician, MD/DO']",23,2152359600,True,10,,1412 Fairmount Ave,False,"['Physician, MD/DO - Family Practice']",65662343-F182-4F01-909E-F3F7D565942C,"Physician, MD/DO",True,Family Practice,Job
NA,10,NA,10,,0,19401,40.12333562,,,,15,Norristown,,"{'fullTime': True, 'partTime': True}",4D775A84-2B3C-418D-80C6-AE31A5B22C3A,10,-75.33352298,True,23,15,PA,Pennsylvania,True,15,['SITE_PROFILE_COMPLETED'],6E34448D-10EC-4CAE-B5CC-2C117C5593FC,16,Delaware Valley Community Health - Norristown Regional Health Center,"['Physician, MD/DO']",23,6102787787,True,10,,1401 Dekalb St,False,"['Physician, MD/DO - Family Practice']",6E34448D-10EC-4CAE-B5CC-2C117C5593FC,"Physician, MD/DO",True,Family Practice,Job
NA,10,61.0000,10,,0,19133,39.99957728,,,,15,Philadelphia,,"{'fullTime': True, 'partTime': True}",4F83B895-18D3-4BB9-9424-FDB369B0C6CF,10,-75.13689006,True,23,15,PA,,True,15,['SITE_PROFILE_COMPLETED'],D87480FA-05F1-4BB9-93A4-DE07E9DC6DBF,16,Delaware Valley Community Health - Maria De Los Santos Health Center,"['Physician, MD/DO']",23,2152912500,True,10,,"401 W Allegheny Ave, Apt 55",False,"['Physician, MD/DO - Family Practice']",D87480FA-05F1-4BB9-93A4-DE07E9DC6DBF,"Physician, MD/DO",True,Family Practice,Job
